Period,EMR Capital Expenditures (Quarterly),EMR Gross Profit Margin (Quarterly),EMR Operating Margin (TTM),EMR Price,EMR Revenue (Quarterly)
2014-07-11 00:00:00,,,,67.1,
2014-07-10 00:00:00,,,,67.2,
2014-07-09 00:00:00,,,,67.7,
2014-07-08 00:00:00,,,,67.83,
2014-07-07 00:00:00,,,,67.65,
2014-07-03 00:00:00,,,,67.37,
2014-07-02 00:00:00,,,,66.64,
2014-07-01 00:00:00,,,,66.55,
2014-06-30 00:00:00,176.0,41.7934,16.8283,66.36,6312.0
2014-06-27 00:00:00,,,,66.92,
2014-06-26 00:00:00,,,,66.73,
2014-06-25 00:00:00,,,,67.02,
2014-06-24 00:00:00,,,,67.07,
2014-06-23 00:00:00,,,,67.81,
2014-06-20 00:00:00,,,,68.24,
2014-06-19 00:00:00,,,,67.61,
2014-06-18 00:00:00,,,,68.07,
2014-06-17 00:00:00,,,,67.24,
2014-06-16 00:00:00,,,,66.33,
2014-06-13 00:00:00,,,,66.47,
2014-06-12 00:00:00,,,,66.44,
2014-06-11 00:00:00,,,,67.25,
2014-06-10 00:00:00,,,,67.5,
2014-06-09 00:00:00,,,,68.1,
2014-06-06 00:00:00,,,,67.66,
2014-06-05 00:00:00,,,,67.39,
2014-06-04 00:00:00,,,,66.74,
2014-06-03 00:00:00,,,,66.94,
2014-06-02 00:00:00,,,,67.17,
2014-05-30 00:00:00,,,,66.73,
2014-05-29 00:00:00,,,,66.8,
2014-05-28 00:00:00,,,,66.65,
2014-05-27 00:00:00,,,,66.85,
2014-05-23 00:00:00,,,,66.5,
2014-05-22 00:00:00,,,,66.13,
2014-05-21 00:00:00,,,,65.57,
2014-05-20 00:00:00,,,,65.37,
2014-05-19 00:00:00,,,,66.73,
2014-05-16 00:00:00,,,,66.55,
2014-05-15 00:00:00,,,,66.64,
2014-05-14 00:00:00,,,,67.3,
2014-05-13 00:00:00,,,,68.28,
2014-05-12 00:00:00,,,,68.22,
2014-05-09 00:00:00,,,,67.12,
2014-05-08 00:00:00,,,,67.21,
2014-05-07 00:00:00,,,,67.2,
2014-05-06 00:00:00,,,,66.56,
2014-05-05 00:00:00,,,,67.62,
2014-05-02 00:00:00,,,,67.53,
2014-05-01 00:00:00,,,,67.99,
2014-04-30 00:00:00,,,,68.18,
2014-04-29 00:00:00,,,,68.05,
2014-04-28 00:00:00,,,,68.22,
2014-04-25 00:00:00,,,,68.44,
2014-04-24 00:00:00,,,,69.5,
2014-04-23 00:00:00,,,,69.4,
2014-04-22 00:00:00,,,,68.7,
2014-04-21 00:00:00,,,,68.59,
2014-04-17 00:00:00,,,,68.44,
2014-04-16 00:00:00,,,,67.61,
2014-04-15 00:00:00,,,,66.55,
2014-04-14 00:00:00,,,,65.37,
2014-04-11 00:00:00,,,,65.4,
2014-04-10 00:00:00,,,,66.05,
2014-04-09 00:00:00,,,,67.1,
2014-04-08 00:00:00,,,,66.66,
2014-04-07 00:00:00,,,,66.48,
2014-04-04 00:00:00,,,,67.27,
2014-04-03 00:00:00,,,,67.94,
2014-04-02 00:00:00,,,,67.84,
2014-04-01 00:00:00,,,,67.32,
2014-03-31 00:00:00,161.0,41.2078,17.0261,66.8,5812.0
2014-03-28 00:00:00,,,,66.76,
2014-03-27 00:00:00,,,,66.2,
2014-03-26 00:00:00,,,,65.74,
2014-03-25 00:00:00,,,,66.35,
2014-03-24 00:00:00,,,,65.39,
2014-03-21 00:00:00,,,,65.35,
2014-03-20 00:00:00,,,,63.59,
2014-03-19 00:00:00,,,,63.63,
2014-03-18 00:00:00,,,,63.87,
2014-03-17 00:00:00,,,,63.66,
2014-03-14 00:00:00,,,,62.56,
2014-03-13 00:00:00,,,,63.02,
2014-03-12 00:00:00,,,,64.0,
2014-03-11 00:00:00,,,,64.41,
2014-03-10 00:00:00,,,,64.93,
2014-03-07 00:00:00,,,,65.6,
2014-03-06 00:00:00,,,,65.05,
2014-03-05 00:00:00,,,,65.06,
2014-03-04 00:00:00,,,,65.12,
2014-03-03 00:00:00,,,,64.35,
2014-02-28 00:00:00,,,,65.26,
2014-02-27 00:00:00,,,,65.25,
2014-02-26 00:00:00,,,,65.23,
2014-02-25 00:00:00,,,,64.55,
2014-02-24 00:00:00,,,,64.32,
2014-02-21 00:00:00,,,,63.42,
2014-02-20 00:00:00,,,,63.56,
2014-02-19 00:00:00,,,,63.27,
2014-02-18 00:00:00,,,,63.8,
2014-02-14 00:00:00,,,,64.51,
2014-02-13 00:00:00,,,,64.54,
2014-02-12 00:00:00,,,,65.11,
2014-02-11 00:00:00,,,,64.95,
2014-02-10 00:00:00,,,,64.99,
2014-02-07 00:00:00,,,,65.19,
2014-02-06 00:00:00,,,,63.94,
2014-02-05 00:00:00,,,,63.76,
2014-02-04 00:00:00,,,,64.06,
2014-02-03 00:00:00,,,,64.25,
2014-01-31 00:00:00,,,,65.94,
2014-01-30 00:00:00,,,,66.58,
2014-01-29 00:00:00,,,,65.67,
2014-01-28 00:00:00,,,,66.34,
2014-01-27 00:00:00,,,,65.52,
2014-01-24 00:00:00,,,,65.26,
2014-01-23 00:00:00,,,,67.35,
2014-01-22 00:00:00,,,,68.96,
2014-01-21 00:00:00,,,,69.55,
2014-01-17 00:00:00,,,,69.12,
2014-01-16 00:00:00,,,,69.95,
2014-01-15 00:00:00,,,,69.78,
2014-01-14 00:00:00,,,,69.21,
2014-01-13 00:00:00,,,,68.05,
2014-01-10 00:00:00,,,,68.55,
2014-01-09 00:00:00,,,,68.27,
2014-01-08 00:00:00,,,,68.55,
2014-01-07 00:00:00,,,,68.9,
2014-01-06 00:00:00,,,,68.85,
2014-01-03 00:00:00,,,,69.37,
2014-01-02 00:00:00,,,,69.3,
